NAME,YEAR,DIRECTOR,RATINGS,REVIEWS,RATING_SCORES,POLARITY_SCORES,COMPOUND,COMPOUND_CLASSIFICATION,RATING_CLASSIFICATION
12 Angry Men,1957,Sidney Lumet, ★★★★★ ," 3 very angry men, 9 relatively pissed off men ***",5.0,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.8313}",-0.8313,neg,pos
Seven Samurai,1954,Akira Kurosawa, ★★★★★ ," I actually can't imagine a film crew behind the camera when watching Seven Samurai. It feels as if it is an entity that exists on its own right apart from a filmmaker's craft, as though I'm watching real events and not something that has been created. There isn't really much else to say to be honest...It definitely is the masterpiece that its hyped up to be.It definitely is essential viewing.It definitely is one of the greatest films ever made.It definitely is one of my favourite films.It definitely is all that.It is everything.Kurosawa Ranked List ***",5.0,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.9712}",0.9712,pos,pos
Cinema Paradiso,1988,Giuseppe Tornatore, ★★★★★ ," I can’t get over this. I don’t think it’s an exaggeration to say that this is a perfectly executed film. A beautiful story about friendship, childhood and cinema. I don’t even know what to say other than it managed to connect with every emotion and that this film is any film lovers dream. THIS IS CINEMA. ***",5.0,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.9468}",0.9468,pos,pos
A Brighter Summer Day,1991,Edward Yang, ★★★★★ , pov: you made the mistake of asking me about A Brighter Summer Day ***,5.0,"{'neg': 0.15, 'neu': 0.688, 'pos': 0.163, 'compound': 0.0516}",0.0516,neu,pos
The Truman Show,1998,Peter Weir, ★★★★½ , worried for the guy taking the longest bath of all time ***,4.5,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",-0.296,neu,pos
Cinema Paradiso,1988,Giuseppe Tornatore, ★★★★ , This review may contain spoilers. I can handle the truth.  alfredo rolling in that coffin after hearing toto came back to giancaldo  ***,4.0,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3182}",0.3182,neu,pos
Apur Sansar,1959,Satyajit Ray, ★★★½ , i love Apu’s character so much. what a great end to the trilogy ***,3.5,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.8612}",0.8612,pos,pos
8½,1963,Federico Fellini, ★★★★★ , oh my god oh my god oh my god oh my god ***,5.0,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.7506}",0.7506,pos,pos
Mulholland Drive,2001,David Lynch, ★★★★★ , what if we kissed 🤔😍 at mulholland dr. 🛣  while [sinister music] 🎶 plays in the background and we're both girls. 💘🙈👩🏻‍🤝‍👩🏼 ***,5.0,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5574}",0.5574,pos,pos
Vertigo,1958,Alfred Hitchcock, ★★★★½ , Hitchcock? More like I want to hitch-a-ride-on-his-cock because this film was incredible ***,4.5,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5222}",0.5222,pos,pos
The Tale of the Princess Kaguya,2013,Isao Takahata, ★★★★½ , And the Oscar for Best Animated Feature goes to -....................BIG HERO 6!!!Inochi no Kioku ***,4.5,"{'neg': 0.093, 'neu': 0.508, 'pos': 0.399, 'compound': 0.8485}",0.8485,pos,pos
Wild Strawberries,1957,Ingmar Bergman, ★★★★½ ," so many themes packed into just 91 minutes: aging, guilt, regret, death, dreams, subconsciousness, memories, marriage, love, fear ... all standard for bergman’s oeuvre but especially realized here. amazing how he crafted such a tender, credible portrait of an elderly man when he himself was just under 40. Wild Strawberries feels like a swan song, somehow sung 60 years before his death. happy birthday, ingmar 💙 ***",4.5,"{'neg': 0.156, 'neu': 0.63, 'pos': 0.214, 'compound': 0.7903}",0.7903,pos,pos
City Lights,1931,Charlie Chaplin, ★★★★★ , That last shot is basically like the most joyous moment in all of cinema. Probably always will be. ***,5.0,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.7841}",0.7841,pos,pos
The Godfather,1972,Francis Ford Coppola, ★★★★★ , I don't trust anyone who dislikes this movie. ***,5.0,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.6599}",-0.6599,neg,pos
A Man Escaped,1956,Robert Bresson, ★★★★★ ," As a realistic, breathtaking, influential and heart-pounding recount of a true POW story, it is a shining triumph. Bresson's style of constantly moving from one relevant event to another and letting images speak while assigning a great importance to silences and facial expressions confirms the truth hidden in the phrase ""in simplicity lies complexity"". Your complaint is that the title sells away the ending, right? Bresson has never cared about the outcomes; instead, his humanity testaments focus on the struggle of life itself given a set of circumstances. That's why he's misunderstood: not all people have fought for their lives even once.97/100 ***",5.0,"{'neg': 0.119, 'neu': 0.708, 'pos': 0.172, 'compound': 0.811}",0.811,pos,pos
The Great Dictator,1940,Charlie Chaplin, ★★★★★ ," it’s a strong testament to charlie chaplin’s many talents that a talkie sits among one of his best. there’s something about chaplin films that give me a big stupid grin on my face the entire runtime. this case also applies, even with the more grounded political scenes dazzling me with their clever foresight. ***",5.0,"{'neg': 0.052, 'neu': 0.692, 'pos': 0.255, 'compound': 0.9217}",0.9217,pos,pos
A Special Day,1977,Ettore Scola, ★★★★½ , two lost souls suffocating together ***,4.5,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",-0.3182,neu,pos
"Paris, Texas",1984,Wim Wenders, ★★★★★ , that colour palette!!!!! that sam shepard script!!!!! oh my god. a masterpiece literally a masterpiece ***,5.0,"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.9094}",0.9094,pos,pos
The Godfather,1972,Francis Ford Coppola, ★★★★½ , i mean... it wasn't as good as twilight (2008) but it was ok ***,4.5,"{'neg': 0.11, 'neu': 0.71, 'pos': 0.181, 'compound': 0.2725}",0.2725,neu,pos
The Hunt,2012,Thomas Vinterberg, ★★★★ , if I was in church with mads mikkelsen and he turned around and looked at me like that I would simply evaporate ***,4.0,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,neu,pos
The Pianist,2002,Roman Polanski, ★★★★ ," first off, FUCK YOU POLANSKI!second, adrien brody, up to this day, holds the record for being the youngest actor to win the coveted Best Actor Oscar award and may i just say he's really worthy of it. that scene where Szpilman played the ""Ballade in G minor"", one of the most beautiful and moving scenes i've ever heard and seen in a film.lastly, again, FUCK YOU POLANSKI! ***",4.0,"{'neg': 0.097, 'neu': 0.653, 'pos': 0.25, 'compound': 0.9247}",0.9247,pos,pos
A Woman Under the Influence,1974,John Cassavetes, ★★★★★ ," Gena Rowlands with a fucking tour de force performance, holy shit. What a heart-wrenching and painful film, nearly brought me to tears. Cassavetes, you have my attention. ***",5.0,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.8126}",-0.8126,neg,pos
The Best of Youth,2003,Marco Tullio Giordana, ★★★★½ , This inspired me so much and gave me confidence to tell the whole story when I was doing Gangs of Wasseypur ***,4.5,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7579}",0.7579,pos,pos
Solaris,1972,Andrei Tarkovsky, ★★★★½ ," Whether an intelligent alien planet or the woman you married and loved, another being is ultimately and fundamentally unknowable to you. ***",4.5,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.7845}",0.7845,pos,pos
The Tale of the Princess Kaguya,2013,Isao Takahata, ★★★★½ , I was born to live. Just like the birds and the beasts.Quite possibly the most visually stunning movie I’ve ever seen with an ending that hits you like a truck. ***,4.5,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.7832}",0.7832,pos,pos
It's Such a Beautiful Day,2012,Don Hertzfeldt, ★★★★★ , It's kind of a really nice day. ***,5.0,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.4754}",0.4754,neu,pos
Le Samouraï,1967,Jean-Pierre Melville, ★★★★ , LOVE when a traditionally handsome man turns out to be a lonely weirdo who spends his days chillin’ in his dilapidated studio apartment with his caged pet when he’s not risking his life at his unconventional job ❤️ (this guy and also fox mulder) ***,4.0,"{'neg': 0.099, 'neu': 0.712, 'pos': 0.189, 'compound': 0.6999}",0.6999,pos,pos
Le Samouraï,1967,Jean-Pierre Melville, ★★★★½ , Le Samourai: 👴🏼The Driver: 🧔🏻Drive:🧑🏼Baby Driver:👶🏻 ***,4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Le Samouraï,1967,Jean-Pierre Melville, None , everything in this movie is cool ***,0.0,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,neu,neu
Ordet,1955,Carl Theodor Dreyer, ★★★★★ ," Faith as an idea and how cinema is an art ideally positioned to move into the realm of the concrete. There's no stop talk about the subject and its many complications, but what matters is how Dreyer images suggest presence. Call it God or the auteur hand, neither benign or punish, but an organizing principle that remains through the images. The famous resurrection remains a triumph of believe and of the body. ***",5.0,"{'neg': 0.065, 'neu': 0.71, 'pos': 0.226, 'compound': 0.9334}",0.9334,pos,pos
The Human Condition I: No Greater Love,1959,Masaki Kobayashi, ★★★★½ ," Finally, a film that captures the complex struggles and emotions of being a Discord Mod ***",4.5,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.6369}",-0.6369,neg,pos
Chungking Express,1994,Wong Kar-wai, ★★★★ , this is not my beautiful house? this is not my beautiful towel? this is not my beautiful giant garfield? ***,4.0,"{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.8744}",-0.8744,neg,pos
The Man Who Shot Liberty Valance,1962,John Ford, ★★★★★ , Some stuff here. ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Memories of Murder,2003,Bong Joon-ho, ★★★★½ , just call me bong joon’s ho ***,4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Marcel the Shell with Shoes On,2021,Dean Fleischer Camp, ★★★★★ , are you fucking kidding me ***,5.0,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.1761}",0.1761,neu,pos
Army of Shadows,1969,Jean-Pierre Melville, ★★★★★ ," Thinking of Heat, and how shadows provide requisite cover until they don’t, not by failure to predict their behavior—it’s physics, light and dark—but failure to predict our own, and our comrades’. ***",5.0,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.6602}",0.6602,pos,pos
The Big City,1963,Satyajit Ray, ★★★★ ," Satyajit Ray's film takes on an even more special dimension today, when women are still being killed in some countries for daring to ask to be considered equal to men.A feminist film ahead of its time.Highly recommended. ***",4.0,"{'neg': 0.098, 'neu': 0.742, 'pos': 0.159, 'compound': 0.2006}",0.2006,neu,pos
One Flew Over the Cuckoo's Nest,1975,Miloš Forman, ★★★★½ ," For me to say that a film discusses humanity, I mean that it showcases the way in which ""outsiders"" are treated, teaching the audience a lesson on how those who are ""different"" don't need to feel that way. Jack Nicholson and Louise Fletcher became Murphy and Nurse Ratched. And even though there was no makeup on them, it was literally impossible to just see those actors as they disappeared into those characters impeccably. best picture rank ***",4.5,"{'neg': 0.052, 'neu': 0.895, 'pos': 0.053, 'compound': 0.2732}",0.2732,neu,pos
Le Samouraï,1967,Jean-Pierre Melville, ★★★★½ , My third movie in a row about how cool it is to kill people for money! ***,4.5,"{'neg': 0.234, 'neu': 0.658, 'pos': 0.108, 'compound': -0.5707}",-0.5707,neg,pos
Where Is the Friend's House?,1987,Abbas Kiarostami, ★★★★ ," Cinematic stories about children will always deeply affect me, especially when the filmmaking is not intrusive or manipulative. That’s why I’m forever grateful for Abbas Kiarostami’s films; they reveal broad themes through such simple narratives, without ever teetering on the edge of unnecessary melodrama. Where Is My Friend’s House? is a sweet film, and the most fitting for World Kindness Day (something I didn’t even know existed until I checked the twitter trending topics 5 minutes ago). ***",4.0,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.8402}",0.8402,pos,pos
Lawrence of Arabia,1962,David Lean, ★★½ ," ""I had to execute someone, and there is something about it I didn't like."" -Lawrence, Four hours of colonialism, sand, brown face and boredom.. not my thing but the cinematography is outstanding. ***",2.5,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.7579}",0.7579,pos,pos
The Lord of the Rings: The Two Towers,2002,Peter Jackson, ★★★★★ , i need a spinoff movie called legolly blonde ***,5.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Boogie Nights,1997,Paul Thomas Anderson, ★★★★ ," I love you,you love me.Going down the sugar tree.We'll go down the sugar tree,and see lots of bees.playing, playing,But the bees won't stingbecause you love me. ***",4.0,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.9274}",0.9274,pos,pos
The Father,2020,Florian Zeller, ★★★★ , Had to do the biggest double take of my life when the film opened with a harpsichord score over Olivia Colman walking and the credit “edited by Yorgos Lamprinos” popped up ***,4.0,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.3818}",0.3818,neu,pos
Underground,1995,Emir Kusturica, ★★★★ ," The third act took this film from good to great in my view, but I think I'll get more out of it on a second watch. The film's tone is a weird mix of serious and completely absurd. It deals with war, family, propaganda, and filmmaking, and I think that I'll love the film more after I read up on it and on 20th century Yugoslavian history. It's got a ton of charm and it's generally a very fun film.It was funny seeing the main actor from A Serbian Film play as the dumb son, though. ***",4.0,"{'neg': 0.133, 'neu': 0.65, 'pos': 0.217, 'compound': 0.8977}",0.8977,pos,pos
Prisoners,2013,Denis Villeneuve, ★★★★★ , This review may contain spoilers. I can handle the truth.  [whistle blows] FUCK  ***,5.0,"{'neg': 0.241, 'neu': 0.627, 'pos': 0.131, 'compound': -0.4466}",-0.4466,neu,pos
Citizen Kane,1941,Orson Welles, ★★ , controversial opinion but this was literally so fucking boring ***,2.0,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.6378}",-0.6378,neg,pos
"The Good, the Bad and the Ugly",1966,Sergio Leone, ★★★★★ , you can tell that clint eastwood is 'the good' because he chills with that adorable kitten in the middle of a bombed-out civil war battlefield ***,5.0,"{'neg': 0.193, 'neu': 0.625, 'pos': 0.182, 'compound': -0.1027}",-0.1027,neu,pos
Saving Private Ryan,1998,Steven Spielberg, None , not sure how a three-hour movie that only has like ten scenes total feels like a tight 90 every time I watch it ***,0.0,"{'neg': 0.079, 'neu': 0.721, 'pos': 0.2, 'compound': 0.4657}",0.4657,neu,neu
Django Unchained,2012,Quentin Tarantino, ★★★★ ," This or Kill Bill vol. 2 are probably my *least* favorite Tarantino movies, but if they're your favorites, that's cool too. Sorry haters, but QT has never made a bad or even ""OK"" movie. ***",4.0,"{'neg': 0.169, 'neu': 0.492, 'pos': 0.339, 'compound': 0.8633}",0.8633,pos,pos
Children of Men,2006,Alfonso Cuarón, ★★★★ , children of men? no….i am a child of julianne moore ***,4.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Metropolis,1927,Fritz Lang, None , on joh? ***,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,neu
The Night of the Hunter,1955,Charles Laughton, ★★★★★ , flawless movie but Kevin McCallister would wipe the floor with this guy ***,5.0,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.2846}",0.2846,neu,pos
The Ascent,1977,Larisa Shepitko, ★★★★½ ," I mean...This movie, going against it's title portrays more of a descent as we watch the horrors of war unravel themselves on our two main characters journey. This conflict of trajectory is represented in our two leads personal journeys as well. Unfortunately in war a personal ascent is not to different from a descent.This film left me with a sense of loss in my gut, not only because of what I saw on screen but because of what films we might have had if Shepitko had not died so young. ***",4.5,"{'neg': 0.129, 'neu': 0.813, 'pos': 0.057, 'compound': -0.5878}",-0.5878,neg,pos
Lawrence of Arabia,1962,David Lean, ★★★★½ ," how is a colonialist epic about a tormented sadist with a twinkle in his eyes so universally beloved?"" ... best not to answer that. what i find most amazing about Lean's masterpiece is that such a politically thorny, morally vague 228-minute film about a man's grand-scale psychic collapse has become such a celebrated movie, regarded as a treasure by EW and the the intelligentsia alike.i should probably say a little something about the 4K DCP presentation, but... i'm sleepy. maybe later. ***",4.5,"{'neg': 0.073, 'neu': 0.7, 'pos': 0.227, 'compound': 0.9441}",0.9441,pos,pos
Oldboy,2003,Park Chan-wook, ★★★★½ ," A few month before watching this my friend spoiled it for me, he probably doesn’t remember He probably doesn’t think very much of itOne day he will disappear He will spend fifteen years locked in a hotel room eating fried dumplings Then find himself drawn towards a certain woman at a sushi bar...Keep your mouth shut ***",4.5,"{'neg': 0.056, 'neu': 0.852, 'pos': 0.092, 'compound': 0.4767}",0.4767,neu,pos
Cure,1997,Kiyoshi Kurosawa, ★★★★½ ," ""Psychiatry is a pseudoscience."" - Tom Cruise ***",4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
The Third Man,1949,Carol Reed, ★★★★★ ," It’s all about the atmosphere for me, the way this plays with light, shadows, and off-kilter angles so effectively makes those evocative shots of dark alleys, wet cobblestone streets, and underground sewers feel instantly iconic. Plus you will never get the score out of your head! ***",5.0,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.7417}",0.7417,pos,pos
Aftersun,2022,Charlotte Wells, ★★★★★ , this is our last dance.Absolutely devastating. Paul mescal is a gift to this world. ***,5.0,"{'neg': 0.224, 'neu': 0.625, 'pos': 0.151, 'compound': -0.34}",-0.34,neu,pos
The Thing,1982,John Carpenter, ★★★★★ ,  Is that a man in there or something? Just gonna go ahead and pretend I saw this in theaters yesterday instead of sitting on my office chair watching it on my laptop ***,5.0,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.1027}",-0.1027,neu,pos
The Lord of the Rings: The Two Towers,2002,Peter Jackson, ★★★★ , MAKE GAY FRODO CANON ***,4.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Akira,1988,Katsuhiro Otomo, ★★★★ , This review may contain spoilers. I can handle the truth.  That moment when your ego boost doesn’t help you in Neo-Tokyo so you have to play God elsewhere by creating your own universe.  ***,4.0,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9081}",0.9081,pos,pos
Witness for the Prosecution,1957,Billy Wilder, ★★★½ ," Anyone who tells you that this film is boring is, in fact, a chronic and habitual LIAR ***",3.5,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.7456}",-0.7456,neg,pos
La Notte,1961,Michelangelo Antonioni, ★★★★★ ," urban poetic ennui. memories of a city that never really existed. a failure of art to create new futures. the last night that you'll ever get to be with the person who might understand you. both of you in a tight embrace, savoring what little warmth is left against the encroaching heat-death of the universe. eros calcified, then forgotten. ***",5.0,"{'neg': 0.063, 'neu': 0.783, 'pos': 0.154, 'compound': 0.7109}",0.7109,pos,pos
It's a Wonderful Life,1946,Frank Capra, ★★★★ ," Hard to compute that community, empathy, and love give this a reputation of empty saccharine Americana, but we could sure use some. In its way so very beautiful. ***",4.0,"{'neg': 0.07, 'neu': 0.616, 'pos': 0.315, 'compound': 0.9033}",0.9033,pos,pos
Saving Private Ryan,1998,Steven Spielberg, ★★★½ , i sat through this whole thing and i'm not sure private ryan was worth saving ***,3.5,"{'neg': 0.116, 'neu': 0.771, 'pos': 0.113, 'compound': -0.016}",-0.016,neu,pos
Napoleon,1927,Abel Gance, ★★★★★ ," Too long, but too good as well ***",5.0,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.7579}",0.7579,pos,pos
Neon Genesis Evangelion: The End of Evangelion,1997,Hideaki Anno, ★★★★★ , mom the animated movie made me retreat into my deepest mental faculties to face what makes me a fundamentally broken person again ***,5.0,"{'neg': 0.124, 'neu': 0.803, 'pos': 0.072, 'compound': -0.3182}",-0.3182,neu,pos
The Grand Budapest Hotel,2014,Wes Anderson, ★★★★★ ," My mom wanted to watch a movie with the family and my dad said ""It's this movie or nothing""Yeah I agree ***",5.0,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.3612,neu,pos
Harakiri,1962,Masaki Kobayashi, ★★★★★ ," wait can we normalize calling something you’ve only seen once, your favorite movie of all time? ***",5.0,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4588}",0.4588,neu,pos
Memories of Murder,2003,Bong Joon-ho, ★★★★½ , the wettest movie I've seen all year ***,4.5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu,pos
Three Colours: Red,1994,Krzysztof Kieślowski, ★★★★★ ," Wonderfully done. If I were a director and needed to retire, I'd want to leave the business with something as good as this. Haven't seen a bunch of Kieślowski to decide whether it's his magnum opus, but out of the Three Colours trilogy, Red is the one that shines the brightest.Such a great character drama. With impeccable, thoughtful dialogue, fleshed-out characters, and just really perfect scenarios surrounding them, I could never look away from the screen. Irène Jacob is a delight to the eyes. Would recommend it to anyone who enjoys great dramas or great films in general. You can't go wrong with a Kieślowski. ***",5.0,"{'neg': 0.008, 'neu': 0.638, 'pos': 0.354, 'compound': 0.9942}",0.9942,pos,pos
Neon Genesis Evangelion: The End of Evangelion,1997,Hideaki Anno, ★★★★★ , This review may contain spoilers. I can handle the truth.  RIP Misato aka best girl in the series ;____;  ***,5.0,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.7579}",0.7579,pos,pos
